secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
79,81,138,0.009,0,0,239,212.2,5.68646800,45.19793000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
80,81,138,0.009,0,0,234,212.2,5.68646800,45.19793000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
81,80,138,0.009,0,0,241,212.2,5.68646800,45.19793000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
82,81,138,0.009,0,0,245,212.2,5.68646800,45.19793000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
83,82,138,0.009,0,0,251,212.2,5.68646800,45.19793000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
84,82,138,0.009,0,0,253,212.2,5.68646800,45.19793000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
85,82,138,0.009,0,0,254,212.2,5.68646800,45.19793000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
86,82,138,0.009,0,0,249,212.2,5.68646800,45.19793000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
87,83,138,0.009,0,0,249,212.2,5.68646800,45.19793000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
88,82,138,0.009,0,0,243,212.2,5.68647100,45.19795000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
89,82,138,0.0115,1.8,0,242,212.2,5.68647300,45.19796300,0,0,-255,0,-255,0,0,0,0,0,0,0,0
90,80,138,0.014,3.6,0,240,212.2,5.68647700,45.19797100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
91,81,138,0.014,3.6,0,241,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
92,80,138,0.014,3.6,0,252,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
93,81,138,0.014,3.6,0,249,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
94,81,138,0.014,1.8,0,247,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
95,80,138,0.014,0,0,244,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
96,81,138,0.014,0,0,249,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
97,82,137,0.014,0,0,258,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
98,82,137,0.014,0,0,261,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
99,82,137,0.014,0,0,259,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
100,82,136,0.014,0,0,255,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
101,83,136,0.014,0,0,254,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
102,83,136,0.014,0,0,252,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
103,83,136,0.014,0,0,254,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
104,83,135,0.014,0,0,248,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
105,82,135,0.014,0,0,248,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
106,83,135,0.014,0,0,255,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
107,83,135,0.014,0,0,247,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
108,82,135,0.014,0,0,240,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
109,82,135,0.014,0,0,232,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
110,81,135,0.014,0,0,230,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
111,82,136,0.014,0,0,238,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
112,82,136,0.014,0,0,245,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
113,82,136,0.014,0,0,251,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
114,82,136,0.014,0,0,254,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
115,81,136,0.014,0,0,248,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
116,81,136,0.014,0,0,249,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
117,81,136,0.014,0,0,245,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
118,81,136,0.014,0,0,246,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
119,80,136,0.014,0,0,250,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
120,81,136,0.014,0,0,250,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
121,80,137,0.014,0,0,253,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
122,81,137,0.014,0,0,266,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
123,82,137,0.014,0,0,279,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
124,83,137,0.014,0,0,286,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
125,83,137,0.014,0,0,285,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
126,83,137,0.014,0,0,273,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
127,83,137,0.014,0,0,267,212,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
128,84,137,0.014,0,0,272,212.2,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
129,84,138,0.014,0,0,271,212.2,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
130,84,138,0.014,0,0,268,212.2,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
131,84,138,0.014,0,0,261,212.2,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
132,85,141,0.014,0,0,266,212.2,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
133,85,144,0.014,0,0,275,212.2,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
134,85,145,0.014,0,0,280,212.2,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
135,85,145,0.014,0,0,279,212.2,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
136,85,146,0.014,0,0,268,212.2,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
137,85,146,0.014,0,0,271,212.2,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
138,85,146,0.014,0,0,274,212.2,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
139,86,146,0.014,0,0,279,212.2,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
140,86,146,0.014,0,0,278,212.2,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
141,86,146,0.014,0,0,263,212.2,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
142,87,146,0.014,0,0,251,212.2,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
143,86,146,0.014,0,0,241,212.2,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
144,87,147,0.014,0,0,242,212.2,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
145,88,147,0.014,0,0,252,212.2,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
146,88,148,0.014,0,0,261,212.2,5.68648100,45.19797500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
147,88,150,0.016,1.44,0,270,212.2,5.68648000,45.19798700,0,0,-255,0,-255,0,0,0,0,0,0,0,0
148,87,151,0.018,2.88,0,267,212.2,5.68648000,45.19799600,0,0,-255,0,-255,0,0,0,0,0,0,0,0
149,86,151,0.018,2.88,0,266,212.2,5.68648100,45.19800400,0,0,-255,0,-255,0,0,0,0,0,0,0,0
150,86,151,0.018,2.88,0,262,212.2,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
151,85,151,0.018,2.88,0,262,212.2,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
152,85,152,0.018,1.44,0,265,212.2,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
153,85,152,0.018,0,0,267,212.2,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
154,86,153,0.018,0,0,273,212.2,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
155,86,153,0.018,0,0,277,212.2,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
156,86,154,0.018,0,0,279,212.2,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
157,87,154,0.018,0,0,278,212.2,5.68648300,45.19801100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
